iter	Passed	Remaining
571	2340	1750
572	2344	1747
573	2349	1743
574	2352	1739
575	2356	1734
576	2360	1730
577	2365	1727
578	2369	1722
579	2373	1718
580	2377	1714
581	2382	1710
582	2386	1706
583	2390	1702
584	2393	1698
585	2398	1694
586	2402	1690
587	2406	1686
588	2410	1682
589	2415	1678
590	2419	1674
591	2423	1670
592	2427	1666
593	2432	1662
594	2436	1658
595	2440	1654
596	2445	1650
597	2449	1646
598	2453	1642
599	2457	1638
600	2462	1634
601	2466	1630
602	2470	1626
603	2474	1622
604	2479	1618
605	2482	1614
606	2486	1609
607	2491	1606
608	2495	1602
609	2499	1597
610	2503	1593
611	2507	1589
612	2511	1585
613	2515	1581
614	2520	1577
615	2524	1573
616	2528	1569
617	2532	1565
618	2536	1561
619	2541	1557
620	2546	1553
621	2550	1549
622	2554	1546
623	2559	1542
624	2564	1538
625	2568	1534
626	2573	1530
627	2577	1526
628	2582	1522
629	2586	1518
630	2591	1515
631	2595	1511
632	2599	1506
633	2603	1503
634	2608	1499
635	2612	1495
636	2616	1491
637	2621	1487
638	2625	1483
639	2629	1479
640	2633	1475
641	2638	1471
642	2642	1467
643	2647	1463
644	2652	1459
645	2657	1456
646	2661	1451
647	2665	1447
648	2670	1444
649	2674	1440
650	2678	1436
651	2682	1431
652	2687	1428
653	2691	1423
654	2695	1419
655	2699	1415
656	2704	1411
657	2708	1407
658	2712	1403
659	2716	1399
660	2720	1395
661	2725	1391
662	2730	1387
663	2734	1383
664	2738	1379
665	2742	1375
666	2746	1371
667	2751	1367
668	2755	1363
669	2759	1359
670	2763	1354
671	2767	1350
672	2771	1346
673	2775	1342
674	2779	1338
675	2784	1334
676	2788	1330
677	2792	1326
678	2796	1321
679	2800	1317
680	2804	1313
681	2808	1309
682	2812	1305
683	2816	1301
684	2821	1297
685	2825	1293
686	2829	1288
687	2833	1284
688	2837	1280
689	2840	1276
690	2844	1272
691	2849	1268
692	2853	1264
693	2857	1259
694	2861	1255
695	2866	1252
696	2871	1248
697	2875	1244
698	2880	1240
699	2884	1236
700	2888	1232
701	2892	1228
702	2897	1224
703	2901	1219
704	2905	1215
705	2909	1211
706	2913	1207
707	2918	1203
708	2922	1199
709	2926	1195
710	2931	1191
711	2935	1187
712	2939	1183
713	2943	1179
714	2948	1175
715	2951	1170
716	2955	1166
717	2959	1162
718	2964	1158
719	2968	1154
720	2972	1150
721	2976	1146
722	2980	1141
723	2984	1137
724	2988	1133
725	2993	1129
726	2997	1125
727	3001	1121
728	3006	1117
729	3010	1113
730	3014	1109
731	3018	1105
732	3022	1100
733	3027	1097
734	3031	1092
735	3034	1088
736	3038	1084
737	3042	1080
738	3046	1075
739	3050	1071
740	3054	1067
741	3059	1063
742	3064	1059
743	3068	1055
744	3072	1051
745	3077	1047
746	3081	1043
747	3085	1039
748	3089	1035
749	3093	1031
750	3097	1027
751	3101	1022
752	3106	1019
753	3111	1015
754	3115	1011
755	3119	1006
756	3124	1003
757	3128	998
758	3132	994
759	3137	990
760	3141	986
761	3145	982
762	3149	978
763	3153	974
764	3158	970
765	3162	965
766	3166	961
767	3170	957
768	3174	953
769	3178	949
770	3182	945
771	3186	940
772	3190	936
773	3194	932
774	3198	928
775	3202	924
776	3206	920
777	3211	916
778	3215	912
779	3219	908
780	3224	904
781	3228	899
782	3232	895
783	3237	891
784	3242	888
785	3246	883
786	3250	879
787	3255	875
788	3260	871
789	3264	867
790	3268	863
791	3272	859
792	3276	855
793	3280	851
794	3285	847
795	3289	842
796	3293	838
797	3296	834
798	3301	830
799	3305	826
800	3309	822
801	3313	818
802	3318	814
803	3322	810
804	3326	805
805	3330	801
806	3335	797
807	3340	793
808	3344	789
809	3348	785
810	3353	781
811	3357	777
812	3361	773
813	3366	769
814	3370	765
815	3374	760
816	3379	756
817	3383	752
818	3387	748
819	3391	744
820	3396	740
821	3401	736
822	3405	732
823	3410	728
824	3415	724
825	3419	720
826	3423	716
827	3428	712
828	3432	708
829	3437	704
830	3441	699
831	3446	695
832	3450	691
833	3455	687
834	3458	683
835	3463	679
836	3467	675
837	3471	671
838	3475	666
839	3480	663
840	3484	658
841	3489	654
842	3493	650
843	3497	646
844	3502	642
845	3506	638
846	3511	634
847	3515	630
848	3519	625
849	3523	621
850	3528	617
851	3532	613
852	3537	609
853	3541	605
854	3545	601
855	3549	597
856	3553	592
857	3557	588
858	3562	584
859	3566	580
860	3570	576
861	3575	572
862	3580	568
863	3584	564
864	3589	560
865	3594	556
866	3598	552
867	3602	547
868	3607	543
869	3611	539
870	3615	535
871	3619	531
872	3624	527
873	3629	523
874	3634	519
875	3639	515
876	3644	511
877	3649	507
878	3653	502
879	3658	498
880	3662	494
881	3666	490
882	3670	486
883	3674	482
884	3678	478
885	3682	473
886	3686	469
887	3691	465
888	3695	461
889	3699	457
890	3704	453
891	3708	449
892	3712	444
893	3716	440
894	3721	436
895	3725	432
896	3729	428
897	3733	424
898	3738	420
899	3743	415
900	3747	411
901	3752	407
902	3756	403
903	3760	399
904	3764	395
905	3769	391
906	3773	386
907	3777	382
908	3781	378
909	3786	374
910	3790	370
911	3794	366
912	3798	361
913	3803	357
914	3807	353
915	3812	349
916	3816	345
917	3821	341
918	3825	337
919	3828	332
920	3833	328
921	3837	324
922	3841	320
923	3845	316
924	3850	312
925	3854	308
926	3858	303
927	3862	299
928	3866	295
929	3870	291
930	3874	287
931	3878	283
932	3883	278
933	3887	274
934	3891	270
935	3895	266
936	3899	262
937	3903	258
938	3907	253
939	3912	249
940	3916	245
941	3921	241
942	3925	237
943	3929	233
944	3933	228
945	3937	224
946	3941	220
947	3946	216
948	3950	212
949	3956	208
950	3960	204
951	3966	199
952	3970	195
953	3975	191
954	3980	187
955	3984	183
956	3988	179
957	3993	175
958	3997	170
959	4002	166
960	4006	162
961	4011	158
962	4016	154
963	4020	150
964	4025	146
965	4030	141
966	4034	137
967	4038	133
968	4043	129
969	4048	125
970	4053	121
971	4057	116
972	4062	112
973	4066	108
974	4070	104
975	4074	100
976	4079	96
977	4083	91
978	4087	87
979	4092	83
980	4096	79
981	4100	75
982	4105	70
983	4110	66
984	4114	62
985	4118	58
986	4123	54
987	4127	50
988	4131	45
989	4135	41
990	4140	37
991	4144	33
992	4148	29
993	4152	25
994	4158	20
995	4163	16
996	4167	12
997	4172	8
998	4176	4
999	4180	0
