iter	Logloss
0	0.6640704238
1	0.6370798998
2	0.6107741976
3	0.5868738386
4	0.5640985738
5	0.5428077699
6	0.5228635416
7	0.5042719593
8	0.4868299305
9	0.4697932193
10	0.4538440697
11	0.438981636
12	0.4248387963
13	0.4118063858
14	0.3994998313
15	0.3877795682
16	0.37641197
17	0.3660773931
18	0.3560256232
19	0.3470759347
20	0.3387030825
21	0.3307400211
22	0.3226357097
23	0.3153708136
24	0.3088380755
25	0.3023807287
26	0.2961187438
27	0.2905126442
28	0.2850679205
29	0.2795271849
30	0.2747078674
31	0.2700288555
32	0.2651776265
33	0.260975566
34	0.2572749932
35	0.2535490067
36	0.2500507551
37	0.246547735
38	0.243083302
39	0.2401831802
40	0.2374005916
41	0.2347882621
42	0.2322603177
43	0.2298401395
44	0.2278147357
45	0.2256925814
46	0.2236204623
47	0.2216392423
48	0.2197167988
49	0.2181605278
50	0.216331624
51	0.2147152207
52	0.2132864785
53	0.2117901093
54	0.2102197064
55	0.2088452767
56	0.2075558164
57	0.2060916708
58	0.2049617613
59	0.2038565713
60	0.2027523835
61	0.2015102687
62	0.2005958939
63	0.1994120711
64	0.1985409037
65	0.1976009965
66	0.1969379893
67	0.1961087802
68	0.1954518855
69	0.1947296825
70	0.1940259635
71	0.1931361006
72	0.1924709255
73	0.1917391655
74	0.1912422442
75	0.1905874979
76	0.189956803
77	0.1891718697
78	0.1887035358
79	0.1881405542
80	0.1875642402
81	0.1870266318
82	0.1865359229
83	0.1860617098
84	0.1854505175
85	0.1850262242
86	0.184560584
87	0.1840646767
88	0.1835785928
89	0.1833206401
90	0.1830908089
91	0.1826625357
92	0.1822021636
93	0.1817970592
94	0.1812977882
95	0.1808581568
96	0.1804630337
97	0.1801689509
98	0.1798331332
99	0.1794139486
100	0.1790287027
101	0.1787462276
102	0.1784121958
103	0.1781416347
104	0.1777203258
105	0.1773235584
106	0.1770540223
107	0.1768881494
108	0.1765918638
109	0.1762433335
110	0.1758786212
111	0.1755422172
112	0.1751936348
113	0.1749407778
114	0.1748217601
115	0.1744982205
116	0.1742338168
117	0.1741159255
118	0.1737986607
119	0.1735869018
120	0.1732740368
121	0.1729557082
122	0.172726473
123	0.1724946973
124	0.1722301474
125	0.1719276767
126	0.1716238292
127	0.1715735171
128	0.1714194151
129	0.1712452524
130	0.1710150293
131	0.1707303464
132	0.1704791452
133	0.170284498
134	0.1700883463
135	0.1698964635
136	0.1697268195
